code,name,board,start_date,end_date,deal_date,price_range,money,luck,price,pe,recommend,blueshoe,可比公司,超购倍数,募资总额,dark_rise,rise,cul_rise,security
8522,德益控股,创业板,01-30(周二),02-02(周五),02-13(周二),0.6-0.8,3200,60.05%,0.8,9.52-12.7,不建议,-,龙昇集团,35.42,0.74,-16.25%,1.25%,-,创升融资
8473,弥明百货,创业板,01-30(周二),02-02(周五),02-12(周一),0.22-0.27,2700,50.01%,0.27,25.67-31.5,不建议,-,莎莎国际,136.51,0.76,1.85%,3.70%,-,金利丰
3319,雅生活,主板,01-29(周一),02-02(周五),02-09(周五),10.8-14.2,3550,100.00%,12.3,68-90,不建议,50.00%,彩生活,19,41,-11.55%,-23.09%,-,汇丰/华泰金融
8519,佳民集团,创业板,01-29(周一),02-01(周四),02-08(周四),0.3,3000,80.01%,0.3,-,不建议,-,尝高美,84.67,0.645,0.00%,-15.00%,-,创升融资
6829,龙昇集团,主板,01-26(周五),01-31(周三),02-08(周四),0.3-0.4,4000,10.06%,0.4,7.6-10.14,不建议,-,永勤集团,1680,1.2,21.25%,3.75%,-,德健融资
8450,钜京控股,创业板,01-23(周二),01-26(周五),02-02(周五),0.2-0.24,2400,40.00%,0.22,19.57-23.5,不建议,-,竣球控股,333.9,0.55,84.00%,15.91%,-,智富融资
1711,欧化国际,主板,01-16(周二),01-19(周五),01-29(周一),0.38-0.62,6200,10.00%,0.56,10月16日,不建议,-,齐家控股,1639,1.12,91.00%,185.71%,-,英皇融资/八方金融
8456,民信国际,创业板,01-12(周五),01-17(周三),01-26(周五),0.62-0.78,3120,16.52%,0.7,23.8-30,不建议,-,晶苑国际,18.6,0.7,14.29%,17.14%,-,同人融资
8395,齐家控股,创业板,01-12(周五),01-17(周三),01-25(周四),0.13-0.17,3400,70.01%,0.156,-,不建议,-,国际家居,27.64,0.61,8.97%,19.23%,-,泛海融资
8136,英马斯,创业板,01-11(周四),01-16(周二),01-25(周四),0.2-0.4,4000,28.01%,0.25,12月24日,不建议,-,潪?发展,13.96,0.625,108.00%,100.00%,-,新华汇富
2683,华新手袋,主板,01-10(周三),01-15(周一),01-22(周一),1-1.38,2760,80.01%,1.18,7.3-10,尚可申购,17.00%,森浩集团,239,1.18,13.56%,2.54%,-,星展亚洲
8043,ATLINKS,创业板,12-30(周六),01-11(周四),01-19(周五),0.5-0.9,4500,30.01%,0.5,15.4-27.7,不建议,-,TCL多媒体,10.4,0.5,82.00%,140.00%,-,力高企业
2139,甘肃银行,主板,12-30(周六),01-11(周四),01-18(周四),2.61-2.77,2770,100.00%,2.69,11.4-12.1,不建议,150.00%,重庆银行,0.61,59.5,2.60%,7.06%,-,招银国际/建银国际/华泰金融/国泰君安/中银国际
